userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,category,sub_topic,top_emotion,emotion_confidence,risk_score,priority_level
User_5486,,The Help function is AI driven and does not allow user to describe other issues with the trip. I requested a ride and the driver started the trip about 10minutes before pick up. App help is useless if the user cannot describe the problem. I'm very disappointed by this.,1,4,4.555.10003,2024-12-06 23:59:47,,,4.555.10003,Neutral,App UI & Technical Feedback,disappointment,0.797573447227478,5.597305148571491,Non-Actionable
User_3648,,"This app is now a scam and the heads of uber have become cocky with how the app prices journeys. Used to be good, now utter rubbish. There are inflated prices constantly. They inflate the prices if u use a gift card, u get little to no discount as an uberone member and if u do, its a discount on an inflated price so u still pay more. wait times are slower now unless u pay an inflated price. used for couple years but it's obvious now. Don't pay for uberone, u get nothing back and pay more for it",1,2,4.555.10003,2024-12-10 20:50:26,,,4.555.10003,Neutral,Value for Money,annoyance,0.629377543926239,4.874877552225544,Non-Actionable
User_2719,,"I've had this app for long but I've been using bolt.I just decided to try it fora change and I'm very dissatisfied.On the very first trip I was stressed out and wasted a lot of time before I could get home which was very bad service.If not for the option of one star,I would've never thought of giving one not to talk about more.Please talk to your drivers to mind what they say and how not to raise their voices",1,3,4.555.10003,2024-12-12 22:36:04,,,4.555.10003,Neutral,App UI & Technical Feedback,disappointment,0.6658134460449219,4.7153615913445,Non-Actionable
User_11883,,"I used this for at least 2 years, some of the features are disappointing. i want to text my driver ahead of time to let them know I might have a lot of stuff to bring in the car for my trip.",3,0,4.548.10001,2024-11-25 04:04:57,,,4.548.10001,Neutral,App UI & Technical Feedback,disappointment,0.8515930771827698,4.257965385913849,Non-Actionable
User_10663,,Worst app on this planet.They love to loot their customers so please don't install it sucks..,1,0,4.553.10000,2024-11-27 13:06:51,,,4.553.10000,Neutral,Billing & Overcharging,anger,0.46932777762413025,4.223949998617172,Non-Actionable
User_750,,"Prices have become absolutely ridiculous. Charging almost 50 bucks for a 15 minute ride when it's not even snowing or raining? Beyond robbery, i only use when there's some type of deal now.",2,0,4.556.10005,2024-12-16 23:09:02,,,4.556.10005,Neutral,Billing & Overcharging,annoyance,0.691866397857666,4.151198387145996,Non-Actionable
User_4767,,"Really disappointed!! Bought uber one but it's really waste of money cause I'm not saving anything here instead paying more just checked the prices on other locations the price is difference is noticeably, I uber one user is paying more... Other app was asking 202,211 but here uber is asking 254 after 10% credits it's still more than other apps",1,0,,2024-12-08 13:47:08,,,,Neutral,Billing & Overcharging,disappointment,0.819776713848114,4.09888356924057,Non-Actionable
User_7108,,Useless application. They are practically thugs.,1,0,4.554.10001,2024-12-03 20:19:21,,,4.554.10001,Neutral,Value for Money,anger,0.44379153847694397,3.9941238462924957,Non-Actionable
User_8001,,User experience with this app has really declined over the years.,1,1,4.554.10001,2024-12-02 10:03:54,,,4.554.10001,Neutral,App UI & Technical Feedback,disappointment,0.655555009841919,3.97092222976954,Non-Actionable
User_8686,,"Some times I faced difficulty. I open my location but this app picked up other location far 30-40km from my location. It is very bad for any customer who use this app for emergency time. I give 5 star, 8-9 month before but now I give only 1 star because I face problem.",1,1,4.554.10001,2024-12-01 05:11:15,,,4.554.10001,Neutral,App UI & Technical Feedback,disappointment,0.6105824112892151,3.746059237006021,Non-Actionable
